,Title,Date_upload,Views,Likes,Month
0,🎉 Happy New Year 2024 to all🎊 #happynewyear #newyear2024 #newyearstatus #newyearcelebration,2023-12-31,233,7,Dec
1,😎VIT Chennai Student's Agricultural Invention🌾 | Innovative Invention✨,2023-11-03,62369,48,Nov
2,✨VIT is my Best Decision🎓,2023-11-02,3651,64,Nov
3,🌟VIT Chennai Behindwoods Coverage🚀,2023-10-25,9648,188,Oct
4,✨Vibrance After-Movie 2023 🔥 | VIT Chennai Vibrance 2023,2023-10-18,8893,397,Oct
5,Dr. Kanchana Bhaaskaran VIT Chennai Pro Vice Chancellor Speech | VIT Chennai Research Admission 2024,2023-10-06,24596,28,Oct
6,VIT Chennai,2023-09-13,6908,35,Sep
7,Trailer of VIT Chennai Annual Convocation 2023 | VIT Chennai Building Inauguration Function,2023-08-25,1859,34,Aug
8,Annual Convocation 2023 - VIT Chennai,2023-08-22,4721,49,Aug
9,VIT CHENNAI | VIBRANCE 2023 After Movie Trailer | Vibrance Proshow | Vibrance Events 2023,2023-08-07,4870,72,Aug
10,Wheels India Campus engagement,2023-08-05,784,15,Aug
11,Inauguration of 2023 Freshers Induction Program  - Phase I (17-July-2023 - Monday),2023-07-17,8733,81,Jul
12,"VIBRANCE'23 @VIT CHENNAI, coverage TOI",2023-05-15,1658,14,May
13,University Day & Annual Sports Day 2023 – VIT Chennai,2023-04-15,6770,127,Apr
14,"VFIT, VIT Chennai - Admissions Open (2023)",2023-04-11,1615,19,Apr
15,"VITSOL, VIT Chennai",2023-04-03,242973,8957,Apr
16,"தேசிய அளவிலான கலை, விளையாட்டு திருவிழா   VIT CHENNAI VIBRANCE 2023   05 03 2023",2023-03-05,2183,37,Mar
17,VIT Chennai Video 2023,2023-01-15,8184,151,Jan
18,Vellore Institute of Technology -A place to learn and a chance to grow!,2022-12-15,2506,78,Dec
19,Glimpses of technoVIT'22,2022-09-26,4700,123,Sep
20,Fresher's  Induction Programme 2022 Batch 14th-September-2022,2022-09-14,3895,50,Sep
21,Fresher's  Induction Programme 2022 Batch 13th-September-2022-FN,2022-09-13,7529,109,Sep
22,Fresher's  Induction Programme 2022 Batch 12th-September-2022-AN,2022-09-12,5269,73,Sep
23,Fresher's  Induction Programme 2022 Batch 12th-September-2022,2022-09-12,6307,99,Sep
24,Annual Convocation 2022 - VIT Chennai,2022-08-27,28951,423,Aug
25,Faculty Development Program on  Advanced LATEX,2022-06-29,851,16,Jun
26,Faculty Development Program on  Advanced LATEX,2022-06-28,374,5,Jun
27,Faculty Development Program on  Advanced LATEX,2022-06-28,849,22,Jun
28,Faculty Development Program on  Advanced LATEX,2022-06-27,568,32,Jun
29,Faculty Development Program on  Advanced LATEX,2022-06-27,948,56,Jun
30,B.Com.,2022-06-15,930,7,Jun
31,B.Sc.,2022-06-15,4270,0,Jun
32,B.Sc. FASHION DESIGN,2022-06-15,411,4,Jun
33,"BA, BBA LLB",2022-06-15,479,8,Jun
34,LL.M,2022-06-15,1931,0,Jun
35,BBA,2022-06-15,2439,6,Jun
36,Fashion Tech,2022-06-15,500,4,Jun
37,B.Sc. Programme,2022-06-15,3524,0,Jun
38,Farewell 2022,2022-06-01,2395,53,Jun
39,Online FDP in collaboration with Teaching-learning Centre,2022-03-31,375,9,Mar
40,Navalar Excellence Award - VIT Chennai,2022-03-26,1202,20,Mar
41,73rd Republic Day   VIT Chennai,2022-01-26,1003,27,Jan
42,Guest Lecture,2022-01-12,2146,94,Jan
43,National Level Online Hack-a-thon on Sustainable Energy,2022-01-08,565,20,Jan
44,Webinar on Navigating the Data science by VITAA - Hyderabad and Bangalore Chapter - 18'Dec2021,2021-12-27,256,9,Dec
45,"Webinar on ""Substance abuse and HIV Prevention""",2021-12-01,397,12,Dec
46,VITAA Madurai Chapter Inauguration - 14th Nov 2021,2021-11-26,540,12,Nov
47,Annual Convocation 2021 - VIT CHENNAI,2021-11-18,2390,29,Nov
48,VITAA UAE Chapter - 14th Anniversary,2021-10-22,413,15,Oct
49,Workshop on BUILD YOUR OWN VIRTUAL ASSISTANT,2021-10-09,1388,61,Oct
50,Webinar on ‘Acing your MBA’,2021-09-25,589,15,Sep
51,75th Independence Day - VIT Chennai,2021-08-15,2499,54,Aug
52,The Road Runners | Clubs and Chapters | VIT Chennai,2021-02-09,1618,50,Feb
53,Team Saksham International | Clubs and Chapters | VIT Chennai,2021-02-09,866,13,Feb
54,Technocrats Robotics | Clubs and Chapters | VIT Chennai,2021-02-02,3385,79,Feb
55,Photography Club | Clubs and Chapters | VIT Chennai,2021-02-02,10799,151,Feb
56,72nd Republic Day -VIT Chennai,2021-01-26,1160,32,Jan
57,Enactus VITC | Clubs and Chapters | VIT Chennai,2021-01-18,653,15,Jan
58,IIT PALS VITC | Clubs and Chapters | VIT Chennai,2021-01-18,481,11,Jan
59,Dramatics Club | Clubs and Chapters | VIT Chennai,2021-01-12,1718,27,Jan
60,Music Club | Clubs and Chapters | VIT Chennai,2021-01-12,2649,47,Jan
61,Zuura Formula Racing | Clubs and Chapters | VIT Chennai,2021-01-07,1298,47,Jan
62,VIT School of Law [VITSOL] | VIT Chennai,2021-01-07,10823,147,Jan
63,Dance Club | Clubs and Chapters | VIT Chennai,2021-01-07,2400,29,Jan
64,Event Manager's Club [EMC] | Clubs and Chapters | VIT Chennai,2021-01-07,1460,31,Jan
65,School of Mechanical and Building Sciences [SMBS] | VIT Chennai,2020-12-31,1070,12,Dec
66,School of Electrical Engineering [SELECT] | VIT Chennai,2020-12-30,1239,27,Dec
67,VIT Business School [VITBS] | VIT Chennai,2020-12-30,3534,46,Dec
68,VIT Fashion Institute of Technology Chennai [vFIT],2020-12-30,4445,39,Dec
69,School of Advanced Sciences [SAS] | VIT Chennai,2020-12-30,391,6,Dec
70,ANNUAL CONVOCATION 2020,2020-12-29,1862,22,Dec
71,The School of Electronics Engineering (SENSE) of VIT Chennai offers B. Tech programs in...,2020-12-14,3831,31,Dec
72,The School of Computing Science and Engineering (SCSE) of VIT Chennai offers a wide range...,2020-12-13,4151,27,Dec
73,VIT Chennai strives to provide a world class education with a cosmopolitan environment...,2020-12-11,10853,125,Dec
74,Online Classes at VIT Chennai,2020-10-13,4202,71,Oct
75,INTERNATIONAL CONFERENCE ON CURRENT TRENDS AND FUTURE CHALLENGES IN EDUCATION - INAUGURATION PROGRAM,2020-10-07,696,15,Oct
76,"""Mind Your Heart""  -  ""Healthy  Heart  for  Hearty  Health""",2020-09-26,1224,30,Sep
77,VIT Chennai 74th Independence Day,2020-08-15,2210,55,Aug
78,Reasons why one must join VIT Chennai's prestigious BBA(Hons.) program,2020-03-28,1499,10,Mar
79,BBA (Honours) 2+2 programme only at VIT Chennai,2020-03-28,1722,21,Mar
80,VIT Chennai Admission for BBA (Hons.) Apply Soon!,2020-03-20,448,2,Mar
81,Amazing Talented Girl Students | VIT Chennai Campus,2020-03-17,9678,135,Mar
82,BBA (2+2) twinning program | VIT Chennai Campus,2020-03-16,14701,13,Mar
83,Advanced BBA (Hons) Program | VIT Chennai Campus,2020-03-11,27675,21,Mar
84,Watch Special show on Vibrance 2020 of VIT Chennai,2020-03-04,8683,162,Mar
85,Official Teaser of VIBRANCE 2020 | VIT Chennai Campus,2020-01-30,90175,96,Jan
86,VIBRANCE 2020 | National Level Cultural & Sports Festival of VIT Chennai,2020-01-30,85896,41,Jan
87,VIT Chennai - Top Private Institution for Innovation in India,2020-01-22,42581,506,Jan
88,VIT Chennai University Convocation 2019,2019-11-15,8613,87,Nov
89,VIT Chennai Live Stream - Facilio_PreplacementTalk,2019-08-14,382,0,Aug
90,VIT Chennai University Day Speech & Award show Live Stream | UNIVERSITY DAY 2019,2019-04-04,2109,22,Apr
91,VIT Chennai Live Stream,2019-02-21,878,12,Feb
92,VIT Chennai Live Stream,2019-02-21,332,0,Feb
93,VIT Chennai Live Stream,2019-02-21,359,3,Feb
94,ANNUAL CONVOCATION 2018 - VIT Chennai,2018-08-18,9014,92,Aug
95,Ms Kadhambari S Viswanathan Speech | Assistant Vice President of VIT Bhopal | University Day 2017,2017-03-28,1903,21,Mar
96,"Dr G Viswanathan, VIT Founder & Chancellor Full Speech | VIT University Day",2017-03-28,605,4,Mar
97,Hip Hop Tamizha Adhi Speech | Tamil Pongal Day Celebrations Speech at VIT Chennai | Tamil Mandram,2017-03-21,50308,1609,Mar
98,24th Governor of Puducherry Dr Kiran Bedi Full Speech | VIT Annual Sports Day 2017,2017-03-20,743,8,Mar
99,24th Governor of Puducherry Dr Kiran Bedi Speech | VIT Chennai | University Day Promo,2017-03-16,197,5,Mar
